ground_truth,PIPLUP_no_merge,PIPLUP,count
Skipping STATUS for <*> because CHECK failed with error: (<*>),Skipping STATUS for [Gmail]/Drafts because CHECK failed with error: (null),Skipping STATUS for [Gmail]/Drafts because CHECK failed with error: (null),2
"<*> [LogMessageLogging]: [<*>] - Request to send LogMessages of count (<*>) failed with Error: Error Domain=<*> Code=-<*> <*> UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=<*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}","<*>, <*> [LogMessageLogging]: [aid-types_12000] - Request to send LogMessages of count (<*>) failed with Error: Error Domain=<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> Internet connection appears to be offline.}","<*>, <*> [LogMessageLogging]: [aid-types_12000] - Request to send LogMessages of count (<*>) failed with Error: Error Domain=<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> Internet connection appears to be offline.}",2
"DHCP <*>: ARP detect <*> failed, arp_client_transmit(<*>) failed, Network is down (<*>)","DHCP en0: ARP detect ROUTER failed, arp_client_transmit(en0) failed, Network is down (<*>)","DHCP en0: ARP detect ROUTER failed, arp_client_transmit(en0) failed, Network is down (<*>)",2
Sandbox: QuickLookSatelli(<*>) deny(<*>) file-issue-extension <*>,Sandbox: QuickLookSatelli(<*>) deny(<*>) file-issue-extension <*>,Sandbox: QuickLookSatelli(<*>) deny(<*>) file-issue-extension <*>,2
"<*>: possible hardware address duplication detected, disabling IPv6 for interface.","en0: possible hardware address duplication detected, disabling IPv6 for interface.","en0: possible hardware address duplication detected, disabling IPv6 for interface.",2
SIO_CRABS siocrabsFinishUnlocked: abandoned stream; cancelling remaining requests,SIO_CRABS siocrabsFinishUnlocked: abandoned stream; cancelling remaining requests,SIO_CRABS siocrabsFinishUnlocked: abandoned stream; cancelling remaining requests,2
ARPT: <*>: <*>: <*> failed,ARPT: <*>: wl0: wl_update_tcpkeep_seq: mDNSOffloadUserClient::GetKeepaliveData failed,ARPT: <*>: wl0: wl_update_tcpkeep_seq: mDNSOffloadUserClient::GetKeepaliveData failed,2
Removing excessive log: <*>,Removing excessive log: file:<*>,Removing excessive log: file:<*>,2
ARPT: <*>: AWDL Sync Enabled <*> data path state[<*>],ARPT: <*>: AWDL Sync Enabled <*> data path state[<*>],ARPT: <*>: AWDL Sync Enabled <*> data path state[<*>],2
NSAllowAppKitWeakReferences=<*>,NSAllowAppKitWeakReferences=<*>,NSAllowAppKitWeakReferences=<*>,2
Mac Agent inited !!!,Mac Agent inited !!!,Mac Agent inited !!!,2
ApplePersistenceIgnoreState: Existing state will not be touched. New state will be written to <*>,ApplePersistenceIgnoreState: Existing state will not be touched. New state will be written to <*>,ApplePersistenceIgnoreState: Existing state will not be touched. New state will be written to <*>,2
"Application App:<*> asn:<*> pid:<*> refs=<*> @ <*> tried to be brought forward, but isn't in fPermittedFrontApps ( ( ""<*>"")), so denying. : LASSession.cp <*> SetFrontApplication() q=LSSession <*> queue","Application App:""loginwindow"" asn:<*> pid:<*> refs=<*> @ <*> tried to be brought forward, but isn't in fPermittedFrontApps ( ( ""LSApplication:<*> pid=<*> ""ScreenSaverEngine"""")), so denying. : LASSession.cp <*> SetFrontApplication() q=<*> queue","Application App:""loginwindow"" asn:<*> pid:<*> refs=<*> @ <*> tried to be brought forward, but isn't in fPermittedFrontApps ( ( ""LSApplication:<*> pid=<*> ""ScreenSaverEngine"""")), so denying. : LASSession.cp <*> SetFrontApplication() q=<*> queue",2
"Arranged view frame: {{<*>, <*>}, {<*>, <*>}}","Arranged view frame: {{<*>, <*>}, {<*>, <*>}}","Arranged view frame: {{<*>, <*>}, {<*>, <*>}}",2
"BUG in libdispatch client: kevent[EVFILT_MEMORYSTATUS] add: ""Operation not supported"" - <*>","BUG in libdispatch client: kevent[EVFILT_MEMORYSTATUS] add: ""Operation not supported"" - <*>","BUG in libdispatch client: kevent[EVFILT_MEMORYSTATUS] add: ""Operation not supported"" - <*>",2
GVA warning: addNewReferenceEntry_MMCO force release <*>,GVA warning: addNewReferenceEntry_MMCO force release -<*>,GVA warning: addNewReferenceEntry_MMCO force release -<*>,2
Extension remained dirty for too long after trying to exit. Killing.,Extension remained dirty for too long after trying to exit. Killing.,Extension remained dirty for too long after trying to exit. Killing.,2
CoreAnimation: failed to send fence reply: <*>,CoreAnimation: failed to send fence reply: <*>,CoreAnimation: failed to send fence reply: <*>,2
DHCP <*>: INIT-REBOOT transmit failed,DHCP en0: INIT-REBOOT transmit failed,DHCP en0: INIT-REBOOT transmit failed,2
DEAD_PROCESS: <*>,DEAD_PROCESS: <*> ttys000,DEAD_PROCESS: <*> ttys000,2
Unknown class <*> in Interface Builder file at path <*>.,Unknown class FRToolbar in Interface Builder file at path <*>,Unknown class FRToolbar in Interface Builder file at path <*>,2
"DHCP <*>: ARP detect <*> failed, arp_client_transmit(<*>) failed, Network is down (<*>)","DHCP en0: ARP detect gateway failed, arp_client_transmit(en0) failed, Network is down (<*>)","DHCP en0: ARP detect gateway failed, arp_client_transmit(en0) failed, Network is down (<*>)",2
-[PVTextSearchIndexManager indexForContainer:forSearchBasis:]: elapsed time = <*>,-[PVTextSearchIndexManager indexForContainer:forSearchBasis:]: elapsed time = <*>,-[PVTextSearchIndexManager indexForContainer:forSearchBasis:]: elapsed time = <*>,2
-[PushServiceStoreDispatch getEnabledMediaTypesWithReply:],-[PushServiceStoreDispatch getEnabledMediaTypesWithReply:],-[PushServiceStoreDispatch getEnabledMediaTypesWithReply:],2
[<*>] <<<< AVCaptureHALDevice >>>> -[AVCaptureHALDevice _removePropertyListeners]: Removing data source observer for device <AVCaptureHALDevice: <*> [VPAUAggregateAudioDevice-<*>][VPAUAggregateAudioDevice-<*>]> failed (<*>),[<*>] <<<< AVCaptureHALDevice >>>> -[AVCaptureHALDevice _removePropertyListeners]: Removing data source observer for device <AVCaptureHALDevice: <*> [VPAUAggregateAudioDevice-<*>][VPAUAggregateAudioDevice-<*>]> failed (<*>),[<*>] <<<< AVCaptureHALDevice >>>> -[AVCaptureHALDevice _removePropertyListeners]: Removing data source observer for device <AVCaptureHALDevice: <*> [VPAUAggregateAudioDevice-<*>][VPAUAggregateAudioDevice-<*>]> failed (<*>),2
"[<*>] <<< FFR_Common >>> FigFormatReaderCreateForStreamReturningMatchingContainerLabelType: *** Could not find format reader for URL <*> path <*> extension <*> FileType '' MIMETYPE ""(<*>)"" SuggFileName ""(<*>)"" SuggNameExtension ""(<*>)""","[<*>] <<< FFR_Common >>> FigFormatReaderCreateForStreamReturningMatchingContainerLabelType: *** Could not find format reader for URL ""file:<*>"" path <*> extension ""swf"" FileType '' MIMETYPE ""(null)"" SuggFileName ""(null)"" SuggNameExtension ""(null)""","[<*>] <<< FFR_Common >>> FigFormatReaderCreateForStreamReturningMatchingContainerLabelType: *** Could not find format reader for URL ""file:<*>"" path <*> extension ""swf"" FileType '' MIMETYPE ""(null)"" SuggFileName ""(null)"" SuggNameExtension ""(null)""",2
[<*>] HTTPRequest figHttpRequestDidReceiveResponseCallback: received http response <*> (error <*>) for <*>,"[<*>] HTTPRequest figHttpRequestDidReceiveResponseCallback: received http response <*> (error -<*>) for https:<*>&itag=<*>&source=<*>&requiressl=<*>&ttl=<*>&mm=<*>&mn=<*>-n4v7sn7l&ms=<*>&mv=<*>&pl=<*>&ei=<*>&driveid=<*>-fC9jxSRZZwrozP28F1J5SDg&mime=<*>&lmt=<*>&mt=<*>&ip=<*>&ipbits=<*>&expire=<*>&cp=<*>&sparams=<*>,ipbits,expire,id,itag,source,requiressl,ttl,mm,mn,ms,mv,pl,ei,driveid,mime,lmt,cp&signature=<*>&key=<*>&app=<*>&cpn=<*>-rwrYSf&c=<*>&cver=<*>","[<*>] HTTPRequest figHttpRequestDidReceiveResponseCallback: received http response <*> (error -<*>) for https:<*>&itag=<*>&source=<*>&requiressl=<*>&ttl=<*>&mm=<*>&mn=<*>-n4v7sn7l&ms=<*>&mv=<*>&pl=<*>&ei=<*>&driveid=<*>-fC9jxSRZZwrozP28F1J5SDg&mime=<*>&lmt=<*>&mt=<*>&ip=<*>&ipbits=<*>&expire=<*>&cp=<*>&sparams=<*>,ipbits,expire,id,itag,source,requiressl,ttl,mm,mn,ms,mv,pl,ei,driveid,mime,lmt,cp&signature=<*>&key=<*>&app=<*>&cpn=<*>-rwrYSf&c=<*>&cver=<*>",2
-[MMCoreTextView(Drawing) batchDrawData:]@<*>: Conversion error: some text may not be rendered,-[MMCoreTextView(Drawing) batchDrawData:]@<*>: Conversion error: some text may not be rendered,-[MMCoreTextView(Drawing) batchDrawData:]@<*>: Conversion error: some text may not be rendered,2
[<*>] <<<< CRABS >>>> crabsDoJump: [<*>] thread <*> crabsMoveFirehose failed for block <*>,[<*>] <<<< CRABS >>>> crabsDoJump: [<*>] thread <*> crabsMoveFirehose failed for block <*>,[<*>] <<<< CRABS >>>> crabsDoJump: [<*>] thread <*> crabsMoveFirehose failed for block <*>,2
[<*>] <<<< AVCaptureHALDevice >>>> -[AVCaptureHALDevice _removePropertyListeners]: Removing alive observer for device <AVCaptureHALDevice: <*> [VPAUAggregateAudioDevice-<*>][VPAUAggregateAudioDevice-<*>]> failed (<*>),[<*>] <<<< AVCaptureHALDevice >>>> -[AVCaptureHALDevice _removePropertyListeners]: Removing alive observer for device <AVCaptureHALDevice: <*> [VPAUAggregateAudioDevice-<*>][VPAUAggregateAudioDevice-<*>]> failed (<*>),[<*>] <<<< AVCaptureHALDevice >>>> -[AVCaptureHALDevice _removePropertyListeners]: Removing alive observer for device <AVCaptureHALDevice: <*> [VPAUAggregateAudioDevice-<*>][VPAUAggregateAudioDevice-<*>]> failed (<*>),2
[<*>] HTTPRequest figHTTPDumpFinalURLAndRemoteAddress: address <*> final url <*>,"[<*>] HTTPRequest figHTTPDumpFinalURLAndRemoteAddress: address <*>::<*> final url https:<*>&itag=<*>&source=<*>&requiressl=<*>&ttl=<*>&mm=<*>&mn=<*>-n4v7sn7l&ms=<*>&mv=<*>&pl=<*>&ei=<*>&driveid=<*>-fC9jxSRZZwrozP28F1J5SDg&mime=<*>&lmt=<*>&mt=<*>&ip=<*>&ipbits=<*>&expire=<*>&cp=<*>&sparams=<*>,ipbits,expire,id,itag,source,requiressl,ttl,mm,mn,ms,mv,pl,ei,driveid,mime,lmt,cp&signature=<*>&key=<*>&app=<*>&cpn=<*>-rwrYSf&c=<*>&cver=<*>","[<*>] HTTPRequest figHTTPDumpFinalURLAndRemoteAddress: address <*>::<*> final url https:<*>&itag=<*>&source=<*>&requiressl=<*>&ttl=<*>&mm=<*>&mn=<*>-n4v7sn7l&ms=<*>&mv=<*>&pl=<*>&ei=<*>&driveid=<*>-fC9jxSRZZwrozP28F1J5SDg&mime=<*>&lmt=<*>&mt=<*>&ip=<*>&ipbits=<*>&expire=<*>&cp=<*>&sparams=<*>,ipbits,expire,id,itag,source,requiressl,ttl,mm,mn,ms,mv,pl,ei,driveid,mime,lmt,cp&signature=<*>&key=<*>&app=<*>&cpn=<*>-rwrYSf&c=<*>&cver=<*>",2
[<*>] <<< CFByteFlume >>> fbf_ResumeRetryAttempt: <*> Reconnection attempt already in progress. Leave it alone. (Unexpected race condition?),[<*>] <<< CFByteFlume >>> fbf_ResumeRetryAttempt: [<*>] Reconnection attempt already in progress. Leave it alone. (Unexpected race condition?),[<*>] <<< CFByteFlume >>> fbf_ResumeRetryAttempt: [<*>] Reconnection attempt already in progress. Leave it alone. (Unexpected race condition?),2
"[CardDAVPlugin-ERROR] -_handleAddsOrModifies:<*> Error Domain=<*> Code=<*> <*> UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=<*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}","[CardDAVPlugin-ERROR] -_handleAddsOrModifies:https://xpc_ben%<*> Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>://xpc_ben%<*>, NSErrorFailingURLKey=<*>://xpc_ben%<*>, _kCFStreamErrorCodeKey=-<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> request timed out.}}, NSErrorFailingURLStringKey=<*>://xpc_ben%<*>, NSErrorFailingURLKey=<*>://xpc_ben%<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=-<*>, NSLocalizedDescription=<*> request timed out.}","[CardDAVPlugin-ERROR] -_handleAddsOrModifies:https://xpc_ben%<*> Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>://xpc_ben%<*>, NSErrorFailingURLKey=<*>://xpc_ben%<*>, _kCFStreamErrorCodeKey=-<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> request timed out.}}, NSErrorFailingURLStringKey=<*>://xpc_ben%<*>, NSErrorFailingURLKey=<*>://xpc_ben%<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=-<*>, NSLocalizedDescription=<*> request timed out.}",2
network changed: DNS* <*>,network changed: DNS* Proxy-,network changed: DNS* Proxy-,1
Actually performing action comment for <*>,Actually performing action comment for <*>,Actually performing action comment for <*>,1
ARPT: <*>: Data written into the PLL_CNTRL_ADDR3 (Fractional): <*>,ARPT: <*>: Data written into the PLL_CNTRL_ADDR3 (Fractional): <*>,ARPT: <*>: Data written into the PLL_CNTRL_ADDR3 (Fractional): <*>,1
Attempted search for modules of unknown type (<*>),Attempted search for modules of unknown type (<*>),Attempted search for modules of unknown type (<*>),1
+[NSFileCoordinator addFilePresenter:] could not get a sandbox extension. primaryPresentedItemURL: <*> presentedItemURL: <*>,"+[NSFileCoordinator addFilePresenter:] could not get a sandbox extension. primaryPresentedItemURL: file:<*>, presentedItemURL: file:<*>","+[NSFileCoordinator addFilePresenter:] could not get a sandbox extension. primaryPresentedItemURL: file:<*>, presentedItemURL: file:<*>",1
-[NETPowerManager powerPolicyForTimeslot:workload:] failed to find policy for workload <*> timeslot <*> / <*>,-[NETPowerManager powerPolicyForTimeslot:workload:] failed to find policy for workload <*> timeslot <*> / <*>,-[NETPowerManager powerPolicyForTimeslot:workload:] failed to find policy for workload <*> timeslot <*> / <*>,1
<*> : Bonjour advertise <*> started,<*> : Bonjour advertise <*> started,<*> : Bonjour advertise <*> started,1
Caching encoded userInfo to use until we are marked dirty again (<*>),Caching encoded userInfo to use until we are marked dirty again (UAUserActivity.m #<*>),Caching encoded userInfo to use until we are marked dirty again (UAUserActivity.m #<*>),1
ARPT: <*>: Data written into the PLL_CNTRL_ADDR2: <*>,ARPT: <*>: Data written into the PLL_CNTRL_ADDR2: <*>,ARPT: <*>: Data written into the PLL_CNTRL_ADDR2: <*>,1
*** WebKit discarding exception: <*> *** -[__NSArrayM objectAtIndex:]: index <*> beyond bounds for empty array,*** WebKit discarding exception: <NSRangeException> *** -[__NSArrayM objectAtIndex:]: index <*> beyond bounds for empty array,*** WebKit discarding exception: <NSRangeException> *** -[__NSArrayM objectAtIndex:]: index <*> beyond bounds for empty array,1
network changed: <*>(<*>) DNS* Proxy SMB,network changed: <*>) <*> Proxy SMB,network changed: <*>) <*> Proxy SMB,1
"*** Assertion failure in +[LUTextAccessor rangeOfTermInString:containingOffset:language:partOfSpeech:], <*>","*** Assertion failure in +[LUTextAccessor rangeOfTermInString:containingOffset:language:partOfSpeech:], <*>","*** Assertion failure in +[LUTextAccessor rangeOfTermInString:containingOffset:language:partOfSpeech:], <*>",1
Call stack:,Call stack:,Call stack:,1
CoreAnimation: context hosting changed while locked!,CoreAnimation: context hosting changed while locked!,CoreAnimation: context hosting changed while locked!,1
*** -[AVAssetResourceLoadingRequest finishLoading] was sent to an instance of <*> that was already finished. Ignoring.,*** -[AVAssetResourceLoadingRequest finishLoading] was sent to an instance of AVAssetResourceLoadingRequest that was already finished. Ignoring.,*** -[AVAssetResourceLoadingRequest finishLoading] was sent to an instance of AVAssetResourceLoadingRequest that was already finished. Ignoring.,1
Could not get event name for <*>: <*>: <*>: Request for stale data,Could not get event name for <*>: <*>: <*>: Request for stale data,Could not get event name for <*>: <*>: <*>: Request for stale data,1
"(UID <*>) Found <*> plugin types, <*> plugins","(UID <*>) Found <*> plugin types, <*> plugins","(UID <*>) Found <*> plugin types, <*> plugins",1
Created ticket <KSTicket:<*>,Created ticket <KSTicket:<*>,Created ticket <KSTicket:<*>,1
Creating a new ticket...,Creating a new ticket...,Creating a new ticket...,1
network changed: <*>(<*>) DNS- Proxy SMB,network changed: <*>) <*> Proxy SMB,network changed: <*>) <*> Proxy SMB,1
ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[<*>],ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[disabled],ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[disabled],1
"nw_path_evaluator_start_helper_connection net_helper_path_evaluation_start failed, dumping backtrace:","nw_path_evaluator_start_helper_connection net_helper_path_evaluation_start failed, dumping backtrace:","nw_path_evaluator_start_helper_connection net_helper_path_evaluation_start failed, dumping backtrace:",1
"ARPT: <*>: ChangeVCO => vco:<*>, xtalF:<*>, frac: <*> ndivMode: <*> ndivint: <*>","ARPT: <*>: ChangeVCO => vco:<*>, xtalF:<*>, frac: <*> ndivMode: <*> ndivint: <*>","ARPT: <*>: ChangeVCO => vco:<*>, xtalF:<*>, frac: <*> ndivMode: <*> ndivint: <*>",1
<*> : AirDrop server enabled on port <*>,<*> : AirDrop server enabled on port <*>,<*> : AirDrop server enabled on port <*>,1
<*> : AirDrop server disabled,<*> : AirDrop server disabled,<*> : AirDrop server disabled,1
"<*> [CountryConfiguration]: Could not determine current country code: Error Domain=<*> Code=<*> <*> UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=<*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}","<*>, <*> [CountryConfiguration]: Could not determine current country code: Error Domain=<*> Code=-<*> ""A server with the specified hostname could not be found."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""A server with the specified hostname could not be found."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> server with the specified hostname could not be found.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> server with the specified hostname could not be found.}","<*>, <*> [CountryConfiguration]: Could not determine current country code: Error Domain=<*> Code=-<*> ""A server with the specified hostname could not be found."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""A server with the specified hostname could not be found."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> server with the specified hostname could not be found.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> server with the specified hostname could not be found.}",1
"<*> [LogMessageLogging]: [<*>] - Request to send LogMessages of count (<*>) failed with Error: Error Domain=<*> Code=-<*> <*> UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=<*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}","<*>, <*> [LogMessageLogging]: [aid-types_12000] - Request to send LogMessages of count (<*>) failed with Error: Error Domain=<*> Code=-<*> ""A server with the specified hostname could not be found."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""A server with the specified hostname could not be found."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> server with the specified hostname could not be found.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> server with the specified hostname could not be found.}","<*>, <*> [LogMessageLogging]: [aid-types_12000] - Request to send LogMessages of count (<*>) failed with Error: Error Domain=<*> Code=-<*> ""A server with the specified hostname could not be found."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""A server with the specified hostname could not be found."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> server with the specified hostname could not be found.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> server with the specified hostname could not be found.}",1
<*> : <*> server idle timeout,<*> : AirDrop server idle timeout,<*> : AirDrop server idle timeout,1
.sdef warning for argument <*> of command <*> in suite <*>: <*> is not a valid type name.,.sdef warning for argument 'FileType' of command '<*> file format' is not a valid type name.,.sdef warning for argument <*> of command <*> is not a valid type name.,1
"<*> [LogMessageLogging]: [<*>] - Request to send LogMessages of count (<*>) failed with Error: Error Domain=<*> Code=-<*> <*> UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=<*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}","<*>, <*> [LogMessageLogging]: [aid-types_14000] - Request to send LogMessages of count (<*>) failed with Error: Error Domain=<*> Code=-<*> ""The network connection was lost."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The network connection was lost."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> network connection was lost.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> network connection was lost.}","<*>, <*> [LogMessageLogging]: [aid-types_14000] - Request to send LogMessages of count (<*>) failed with Error: Error Domain=<*> Code=-<*> ""The network connection was lost."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The network connection was lost."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> network connection was lost.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> network connection was lost.}",1
"<*> [NetworkDefaults]: Error updating network defaults: Error Domain=<*> Code=-<*> <*>"" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=<*> ""(<*>)"" UserInfo={_kCFStreamErrorCodeKey=-<*>, _kCFStreamErrorDomainKey=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=-<*>, NSLocalizedDescription=<*>}","<*>, <*> [NetworkDefaults]: Error updating network defaults: Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""(null)"" UserInfo={_kCFStreamErrorCodeKey=-<*>, _kCFStreamErrorDomainKey=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=-<*>, NSLocalizedDescription=<*> request timed out.}","<*>, <*> [NetworkDefaults]: Error updating network defaults: Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""(null)"" UserInfo={_kCFStreamErrorCodeKey=-<*>, _kCFStreamErrorDomainKey=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=-<*>, NSLocalizedDescription=<*> request timed out.}",1
<*> could not connect to networkd,__net_helper_get_connection_block_invoke_3 could not connect to networkd,__net_helper_get_connection_block_invoke_3 could not connect to networkd,1
<*> ksinstall[<*>] [lvl=<*>] -[KeystoneInstallBackend install] Google Software Update attempting to install.,<*> ksinstall[<*>] [lvl=<*>] -[KeystoneInstallBackend install] Google Software Update attempting to install.,<*> ksinstall[<*>] [lvl=<*>] -[KeystoneInstallBackend install] Google Software Update attempting to install.,1
"service_resolve_router_complete <*>: ARP failed, arp_client_transmit(<*>) failed, Network is down (<*>)","service_resolve_router_complete en0: ARP failed, arp_client_transmit(en0) failed, Network is down (<*>)","service_resolve_router_complete en0: ARP failed, arp_client_transmit(en0) failed, Network is down (<*>)",1
"select(<*>, <*> <*>) error: Bad file descriptor","select(<*>, #########--------------------, 0L, 0L, &<*>) error: Bad file descriptor","select(<*>, #########--------------------, 0L, 0L, &<*>) error: Bad file descriptor",1
